Links ID,Mean latency increase,isolated network,isolated routers
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666']",179.16666666666669,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592664']",175.83333333333334,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592669']",173.33333333333334,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592664']",170.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592664']",170.0,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592669']",168.33333333333334,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592665']",167.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667']",167.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592663']",167.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592663']",167.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592663', '6569f30442e7f25d7a592667']",167.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592663']",167.5,0,0
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666']",166.66666666666669,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592668']",165.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665']",165.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592666']",164.16666666666669,0,0
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664']",161.66666666666669,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665']",160.83333333333334,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592665']",160.0,0,0
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666']",158.33333333333337,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",157.5,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592668']",156.66666666666669,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666']",156.66666666666666,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592668']",155.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664']",152.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592668']",152.5,0,0
"['6569f30442e7f25d7a592663', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664']",152.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592663']",152.5,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667']",150.0,0,0
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592667']",149.16666666666669,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592664']",147.5,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665']",147.5,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592666']",146.66666666666669,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592665']",145.0,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592664']",145.0,0,0
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592668']",144.16666666666669,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592664']",144.16666666666669,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592664']",142.5,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665']",142.5,0,0
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592665']",141.66666666666669,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592669']",140.83333333333334,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592663', '6569f30442e7f25d7a592669']",140.83333333333334,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592663']",140.83333333333334,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592669']",140.83333333333334,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665']",140.83333333333334,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",140.0,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592663']",140.0,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592663']",140.0,0,0
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665']",140.0,0,0
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592666']",138.33333333333337,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592664']",138.33333333333334,0,0
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",136.66666666666669,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",135.83333333333334,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",135.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666']",134.16666666666669,0,0
"['6569f30442e7f25d7a592663', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666']",134.16666666666669,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592663']",134.16666666666669,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666']",131.66666666666669,0,0
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667']",129.16666666666669,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666']",129.16666666666666,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",127.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666']",127.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665']",127.5,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592663', '6569f30442e7f25d7a592664']",127.5,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592663']",127.5,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592664']",126.66666666666667,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592667']",125.83333333333334,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592667']",125.0,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592668']",125.0,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667']",125.0,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592663', '6569f30442e7f25d7a592667']",125.0,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592663']",125.0,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665']",125.0,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592668']",122.5,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592663', '6569f30442e7f25d7a592668']",122.5,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592663']",122.5,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",122.5,0,0
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665']",121.66666666666669,0,0
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665']",121.66666666666667,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592667']",121.66666666666667,0,0
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592663']",121.66666666666667,0,0
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592663']",121.66666666666667,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592666']",120.83333333333336,0,0
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668']",120.83333333333334,0,0
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592668']",120.0,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665']",120.0,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665']",120.0,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",120.0,0,0
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592663', '6569f30442e7f25d7a592668']",120.0,0,0
